,white,black,moves,white_agent,black_agent
0,0,1,"[{'move': 'f2f3', 'evaluation': 798.8, 'num_eval': 3799, 'time': 2.3554320335388184}, {'move': 'd7d5', 'evaluation': -13, 'num_eval': -1, 'time': 0.000659942626953125}, {'move': 'c2c4', 'evaluation': 737.8, 'num_eval': 6108, 'time': 4.982936143875122}, {'move': 'd5d4', 'evaluation': -58, 'num_eval': -1, 'time': 0.00046896934509277344}, {'move': 'b2b3', 'evaluation': 753.6, 'num_eval': 6028, 'time': 5.037024021148682}, {'move': 'h7h5', 'evaluation': -84, 'num_eval': -1, 'time': 0.00047516822814941406}, {'move': 'b1h7', 'evaluation': 683.5, 'num_eval': 7822, 'time': 7.920904874801636}, {'move': 'h8h7', 'evaluation': -757, 'num_eval': -1, 'time': 0.0003180503845214844}, {'move': 'g2g4', 'evaluation': 623.0, 'num_eval': 5017, 'time': 5.196869134902954}, {'move': 'h5g4', 'evaluation': -838, 'num_eval': -1, 'time': 0.000392913818359375}, {'move': 'e1h4', 'evaluation': 696.8, 'num_eval': 5298, 'time': 6.163211107254028}, {'move': 'h7h4', 'evaluation': -1060, 'num_eval': -1, 'time': 0.00037789344787597656}, {'move': 'd2d3', 'evaluation': 571.7, 'num_eval': 5432, 'time': 6.520759105682373}, {'move': 'c7c5', 'evaluation': -1118, 'num_eval': -1, 'time': 0.0004730224609375}, {'move': 'h2h3', 'evaluation': 426.9, 'num_eval': 6053, 'time': 7.645960807800293}, {'move': 'g4g3', 'evaluation': -1159, 'num_eval': -1, 'time': 0.0004050731658935547}, {'move': 'f1g3', 'evaluation': 401.4, 'num_eval': 6368, 'time': 8.19700813293457}, {'move': 'b8g3', 'evaluation': -1208, 'num_eval': -1, 'time': 0.00030493736267089844}, {'move': 'h1h2', 'evaluation': 460.7, 'num_eval': 4632, 'time': 6.228409051895142}, {'move': 'g3h2', 'evaluation': -1355, 'num_eval': -1, 'time': 0.00037097930908203125}, {'move': 'g1h2', 'evaluation': 431.4, 'num_eval': 668, 'time': 0.8180069923400879}, {'move': 'e8d7', 'evaluation': -1650, 'num_eval': -1, 'time': 0.0003132820129394531}, {'move': 'd1f2', 'evaluation': 420.7, 'num_eval': 1417, 'time': 1.4208171367645264}, {'move': 'd7e6', 'evaluation': -1818, 'num_eval': -1, 'time': 0.0003788471221923828}, {'move': 'h2g2', 'evaluation': 385.9, 'num_eval': 3107, 'time': 3.747652053833008}, {'move': 'e6e2', 'evaluation': -1630, 'num_eval': -1, 'time': 0.00030422210693359375}, {'move': 'a2a4', 'evaluation': 286.7, 'num_eval': 1622, 'time': 1.9293091297149658}, {'move': 'h4h3', 'evaluation': -1941, 'num_eval': -1, 'time': 0.0004220008850097656}, {'move': 'g2g1', 'evaluation': 225.1, 'num_eval': 1738, 'time': 2.3927958011627197}, {'move': 'h3g3', 'evaluation': -2673, 'num_eval': -1, 'time': 0.00033211708068847656}, {'move': 'g1h1', 'evaluation': 220.8, 'num_eval': 325, 'time': 0.47855710983276367}, {'move': 'e2f1', 'evaluation': None, 'num_eval': -1, 'time': 0.0003440380096435547}, {'move': 'h1h2', 'evaluation': -10000000000171, 'num_eval': 158, 'time': 0.24196577072143555}, {'move': 'g3g2', 'evaluation': None, 'num_eval': -1, 'time': 0.0002830028533935547}]",minimax_iterative_depth_3,stockfish_150
1,1,0,"[{'move': 'e2e4', 'evaluation': 49, 'num_eval': -1, 'time': 0.001338958740234375}, {'move': 'f7f5', 'evaluation': -486.8, 'num_eval': 4345, 'time': 3.0198757648468018}, {'move': 'e4f5', 'evaluation': 137, 'num_eval': -1, 'time': 0.00039887428283691406}, {'move': 'd7d5', 'evaluation': -361.4, 'num_eval': 5398, 'time': 4.476779937744141}, {'move': 'f1g3', 'evaluation': 184, 'num_eval': -1, 'time': 0.0006351470947265625}, {'move': 'c7c5', 'evaluation': -176.3, 'num_eval': 7592, 'time': 5.970664024353027}, {'move': 'd1c3', 'evaluation': 140, 'num_eval': -1, 'time': 0.0006530284881591797}, {'move': 'h7h5', 'evaluation': 23.7, 'num_eval': 9418, 'time': 8.05551815032959}, {'move': 'c3d5', 'evaluation': 140, 'num_eval': -1, 'time': 0.0004951953887939453}, {'move': 'b7b5', 'evaluation': 219.8, 'num_eval': 5071, 'time': 4.622726917266846}, {'move': 'd5e7', 'evaluation': 290, 'num_eval': -1, 'time': 0.0007390975952148438}, {'move': 'e8e7', 'evaluation': 266.0, 'num_eval': 1236, 'time': 1.3627347946166992}, {'move': 'e1e7', 'evaluation': 667, 'num_eval': -1, 'time': 0.0004010200500488281}, {'move': 'a7a5', 'evaluation': 187.0, 'num_eval': 2979, 'time': 2.5896031856536865}, {'move': 'e7d8', 'evaluation': 892, 'num_eval': -1, 'time': 0.000431060791015625}, {'move': 'g7g5', 'evaluation': 187.2, 'num_eval': 3276, 'time': 2.575326919555664}, {'move': 'g3e4', 'evaluation': 1328, 'num_eval': -1, 'time': 0.00036907196044921875}, {'move': 'g8g7', 'evaluation': 257.7, 'num_eval': 3270, 'time': 3.5877411365509033}, {'move': 'd8g5', 'evaluation': 1331, 'num_eval': -1, 'time': 0.0004189014434814453}, {'move': 'f8g6', 'evaluation': 291.4, 'num_eval': 489, 'time': 0.623082160949707}, {'move': 'g5f6', 'evaluation': 1548, 'num_eval': -1, 'time': 0.0003571510314941406}, {'move': 'g7g8', 'evaluation': 291.4, 'num_eval': 306, 'time': 0.40161705017089844}, {'move': 'f5g6', 'evaluation': 1548, 'num_eval': -1, 'time': 0.000370025634765625}, {'move': 'b8h2', 'evaluation': 250.9, 'num_eval': 1525, 'time': 1.7328908443450928}, {'move': 'h1h2', 'evaluation': 1691, 'num_eval': -1, 'time': 0.0002741813659667969}, {'move': 'h8h7', 'evaluation': 120.6, 'num_eval': 1499, 'time': 1.7741868495941162}, {'move': 'g6h7', 'evaluation': 2473, 'num_eval': -1, 'time': 0.00034308433532714844}, {'move': 'g8h7', 'evaluation': 40.7, 'num_eval': 103, 'time': 0.1464989185333252}, {'move': 'f6f7', 'evaluation': None, 'num_eval': -1, 'time': 0.00029015541076660156}, {'move': 'h7h8', 'evaluation': -10000000000076, 'num_eval': 179, 'time': 0.24448370933532715}, {'move': 'h2h5', 'evaluation': None, 'num_eval': -1, 'time': 0.0002849102020263672}]",stockfish_150,minimax_iterative_depth_3
